dates;rgdp;pgdp;pcomm;ff;totres;nbres;rcons;rinv;spread
1965;4062,311;18,34310654;31,86519745;4,04;21,25515035;20808,30476;2466,382;508,491;
1965,25;4113,629;18,42810019;32,32096877;4,04;21,67010846;21218,23219;2493,584;509,827;
1965,5;4205,086;18,49997764;32,41636191;4,01;21,84536804;21362,87741;2536,43;527,578;
1965,75;4301,973;18,62580433;32,9103351;4,32;22,0917541;21605,04629;2607,736;531,072;
1966;4406,693;18,74575004;33,16281425;4,65;22,26439226;21714,66553;2646,233;573,502;
1966,25;4421,747;18,90114459;33,21977408;5,17;22,6814804;22029,70183;2653,014;565,012;
1966,5;4459,195;19,08345237;33,61632304;5,4;23,10277186;22408,43966;2683,309;560,844;
1966,75;4495,777;19,246404;33,4130218;5,4;23,31769761;22687,44947;2694,488;564,131;
1967;4535,591;19,32506944;33,26206144;4,53;23,52847202;23156,5797;2710,014;550,286;
1967,25;4538,37;19,42450107;33,41978952;3,98;23,5975325;23511,26137;2747,064;530,378;
1967,5;4581,309;19,60883429;33,41745094;3,99;24,14884305;24078,88739;2761,129;545,93;
1967,75;4615,853;19,82506986;33,81606869;4,51;24,74601057;24544,55262;2778,026;557,706;
1968;4709,993;20,04418696;34,05954494;5,05;25,38925331;24931,00317;2844,601;568,887;
1968,25;4788,688;20,25666016;34,11860439;6,07;25,7711668;25156,28598;2887,917;590,647;
1968,5;4825,799;20,45543955;34,41884008;5,78;26,2721438;25756,53128;2942,042;574,539;
1968,75;4844,779;20,74531818;34,72210773;6,02;26,76647255;26117,38572;2955,313;580,789;
1969;4920,605;20,96058643;35,15813564;6,79;27,08192753;26209,59111;2988,082;614,989;
1969,25;4935,564;21,22917914;35,61547899;8,9;27,52494103;26337,74605;3007,358;611,366;
1969,5;4968,164;21,52710375;35,81996135;9,15;27,27104919;26148,47602;3022,02;623,778;
1969,75;4943,935;21,80341774;36,43130515;8,97;27,67281572;26435,47831;3046,173;593,659;
1970;4936,594;22,11097459;36,65670115;7,76;27,79661716;26776,75333;3065,074;575,953;
1970,25;4943,6;22,41984445;36,81371506;7,6;27,98077443;27113,95033;3078,959;577,205;
1970,5;4989,159;22,60496263;37,12003844;6,29;28,59979076;27777,47313;3105,952;586,598;
1970,75;4935,693;22,90268412;37,2385314;4,9;28,89209722;28390,13225;3097,52;555,454;
1971;5069,746;23,25193509;37,7565049;3,71;29,70904072;29280,59537;3156,978;620,212;
1971,25;5097,179;23,55884768;38,11156875;4,91;30,21992483;29945,81936;3185,993;637,811;
1971,5;5139,128;23,79704859;38,31949716;5,55;30,70951063;30212,37429;3211,394;645,549;
1971,75;5151,245;23,99517465;38,74733702;4,14;31,09176854;30677,39663;3264,679;628,165;
1972;5245,974;24,36649825;39,15660519;3,83;32,00857484;31821,69303;3307,767;669,558;
1972,25;5365,045;24,51539802;39,60959689;4,46;32,78678152;32734,17186;3370,736;707,589;
1972,5;5415,712;24,74514248;40,21900634;4,87;33,0999171;32989,23075;3422,682;717,638;
1972,75;5506,396;25,05950197;41,26044565;5,33;32,28774586;31378,96121;3503,001;722,138;
1973;5642,669;25,35148824;43,35588505;7,09;32,04307616;30339,32684;3566,957;764,458;
1973,25;5704,098;25,73723223;45,399606;8,49;32,55025133;30820,19855;3565,349;797,044;
1973,5;5674,1;26,22849228;46,71869885;10,78;33,70966156;32080,77535;3577,898;768,143;
1973,75;5727,96;26,75104845;47,58518836;9,95;34,78977147;33228,68209;3567,227;795,504;
1974;5678,713;27,25975631;50,55748003;9,35;35,51235984;33953,96126;3535,312;750,076;
1974,25;5692,21;27,90647337;51,89660112;11,93;36,58599103;34197,28614;3548,041;747,082;
1974,5;5638,411;28,71570981;55,92113547;11,34;37,08847791;34287,2926;3563,282;708,362;
1974,75;5616,526;29,56122537;57,51544936;8,53;36,6016266;35206,95246;3511,197;712,661;
1975;5548,156;30,2330441;56,86371439;5,54;35,87124829;35285,11284;3540,647;597,866;
1975,25;5587,8;30,68344521;57,89430795;5,55;35,14977548;34995,72137;3598,886;580,067;
1975,5;5683,444;31,23024975;59,42684286;6,24;34,7277586;34775,19802;3650,035;625,037;
1975,75;5759,972;31,75211094;59,92200823;5,2;34,4836179;34319,547;3689,285;642,484;
1976;5889,5;32,081174;59,96497375;4,84;34,32028971;34014,31043;3763,048;704,475;
1976,25;5932,711;32,40575405;61,09234835;5,48;34,31998325;34227,65549;3797,67;732,358;
1976,5;5965,265;32,82512972;61,83655313;5,25;34,25996418;34387,29952;3837,654;734,91;
1976,75;6008,504;33,40612547;62,73305099;4,65;34,49752813;34419,71614;3887,447;740,408;
1977;6079,494;33,94353064;64,06161208;4,69;34,59006144;34338,48623;3933,268;774,711;
1977,25;6197,686;34,4213797;64,88949196;5,39;34,93926266;34739,34322;3954,596;830,251;
1977,5;6309,514;34,84421551;65,34721845;6,14;35,50061852;34977,06096;3991,989;872,264;
1977,75;6309,652;35,60078984;66,44695259;6,56;35,78525198;34927,91817;4052,01;850,383;
1978;6329,791;36,13134171;68,0612867;6,79;36,63707161;36055,95369;4074,774;866,957;
1978,25;6574,39;36,79312096;69,88822355;7,6;37,43943282;36506,29681;4161,887;923,266;
1978,5;6640,497;37,40862363;71,05745979;8,45;38,31876157;37186,67362;4179,363;950,166;
1978,75;6729,755;38,19514999;72,96807438;10,03;39,57172614;38641,03283;4213,088;972,139;
1979;6741,854;38,87839303;75,76068982;10,09;40,78613775;39757,5571;4234,909;973,754;
1979,25;6749,063;39,81758493;77,88743504;10,29;40,62739151;39342,64043;4232,159;972,877;
1979,5;6799,2;40,66797022;80,97011989;11,43;41,46836229;40182,20457;4273,342;956,493;
1979,75;6816,203;41,47886894;83,69992229;13,78;42,81227411;41041,88364;4283,975;939,526;
1980;6837,641;42,3416457;87,46178913;17,19;43,40507721;41444,98658;4277,851;933,101;
1980,25;6696,753;43,27048473;88,58199822;9,47;44,15800369;42964,9203;4181,51;853,76;
1980,5;6688,794;44,26645696;91,78331498;10,87;41,86741792;41195,83838;4227,379;797,411;
1980,75;6813,535;45,48964064;94,12594411;18,9;40,96608525;39162,39005;4284,494;871,733;
1981;6947,042;46,62663207;96,97400283;14,7;40,24492864;38797,29322;4298,847;952,418;
1981,25;6895,559;47,50163174;98,3703361;19,1;40,68680563;39049,84669;4299,16;912,945;
1981,5;6978,135;48,35494667;98,8906769;15,87;41,07671376;39662,82753;4319,047;964,401;
1981,75;6902,105;49,26079499;99,12644385;12,37;40,7353662;39786,72609;4289,504;930,44;
1982;6794,878;49,95041972;99,59521845;14,68;41,04011475;39212,89748;4321,1;842,429;
1982,25;6825,876;50,55291281;99,87135743;14,15;40,0654578;38931,97146;4334,262;841,789;
1982,5;6799,781;51,28050306;100,0907994;10,31;40,2443227;39781,81459;4363,318;834,075;
1982,75;6802,497;51,85000198;100,8115149;8,95;40,5501029;39870,76243;4439,749;769,602;
1983;6892,144;52,26805968;100,4155962;8,77;39,78656895;38726,32026;4483,645;796,266;1,13
1983,25;7048,982;52,621738;100,8726682;8,98;38,95912823;37954,41996;4574,944;866,784;0,86
1983,5;7189,896;53,17403717;102,092015;9,45;38,68134837;37637,03332;4656,982;921,051;0,79
1983,75;7339,893;53,56403949;102,6001097;9,47;37,7391581;36862,26648;4731,194;1010,654;0,73
1984;7483,371;54,13519612;103,935818;9,91;37,55176412;36127,50211;4770,457;1108,328;0,17
1984,25;7612,668;54,59048168;103,8682857;11,06;37,46702768;35139,56507;4837,29;1144,371;-0,09
1984,5;7686,059;55,03333055;103,494024;11,3;37,83592029;31165,06221;4873,165;1169,136;0,08
1984,75;7749,151;55,40216464;103,7867335;8,38;38,7589854;34252,49679;4936,293;1153,971;0,6
1985;7824,247;56,03942914;103,1598723;8,58;40,55524846;38399,80232;5020,163;1122,331;0,77
1985,25;7893,136;56,38675331;103,1699709;7,53;42,09451983;40872,59986;5066,25;1141,447;0,74
1985,5;8013,674;56,71390874;102,1898908;7,92;43,76000428;43015,86886;5162,475;1133,665;0,76
1985,75;8073,239;57,04116804;103,8728712;8,27;45,73218786;44488,04833;5173,643;1175,45;0,91
1986;8148,603;57,31933541;100,3783365;7,48;47,3291166;45952,93884;5218,851;1175,105;1,34
1986,25;8185,303;57,54910506;99,77383859;6,92;49,60805841;48856,17707;5275,72;1154,589;1,61
1986,5;8263,639;57,78046359;99,47924805;5,89;52,35620392;51757,13204;5369,049;1123,532;1,44
1986,75;8308,021;58,10248352;99,96668562;6,91;55,64223049;54909,54113;5401,98;1126,895;1,3
1987;8369,93;58,52458403;101,2931306;6,13;57,858533;56855,91172;5407,372;1157,306;0,96
1987,25;8460,233;58,91759791;102,8657438;6,73;59,28586044;58560,72183;5481,166;1157,909;0,95
1987,5;8533,635;59,34490825;103,7687378;7,22;59,59918644;59116,24305;5543,723;1158,077;0,78
1987,75;8680,162;59,83675796;104,4820871;6,77;60,48557922;59589,80162;5555,451;1236,986;1,23
1988;8725,006;60,30678074;105,0105296;6,58;60,89096553;59311,60498;5653,588;1177,604;0,99
1988,25;8839,641;60,88940326;107,0608048;7,51;61,99378512;59422,27646;5695,326;1205,662;1,01
1988,5;8891,435;61,60693582;108,159366;8,19;62,67056282;59754,95576;5745,933;1212,36;0,78
1988,75;9009,913;62,10008311;109,2964224;8,76;61,75136828;59329,1865;5811,264;1230,861;0,47
1989;9101,508;62,78317007;111,6268808;9,85;61,3269855;59369,19054;5838,225;1272,638;0,55
1989,25;9170,977;63,4315471;112,7567817;9,53;60,34180762;58826,43181;5865,477;1260,328;0,91
1989,5;9238,923;63,89252946;112,4474058;9,02;60,4856008;59916,85768;5922,261;1249,012;0,73
1989,75;9257,128;64,33576172;113,3038988;8,45;60,5570345;59923,39496;5948;1239,747;0,94
1990;9358,289;65,04572474;114,3440667;8,28;61,26282814;59799,84967;5998,058;1252,058;0,74
1990,25;9392,251;65,71799859;114,1640814;8,29;61,6075537;60533,39376;6016,329;1252,449;0,81
1990,5;9398,499;66,30452384;118,4317963;8,2;61,58302848;60953,16725;6040,163;1228,17;0,78
1990,75;9312,937;66,80520627;119,0129465;7,31;60,00133279;59497,46696;5994,212;1159,464;0,97
1991;9269,367;67,47231517;116,355963;6,12;49,26518121;48818,34195;5971,672;1120,884;0,85
1991,25;9341,642;67,93354994;116,2533201;5,9;50,13161732;49959,34939;6021,163;1120,88;0,78
1991,5;9388,845;68,43207146;116,1269078;5,45;51,35546832;50826,83839;6051,184;1143,073;1,06
1991,75;9421,565;68,80259716;116,2135519;4,43;52,66892408;52345,44697;6048,156;1183,605;1,45
1992;9534,346;69,0978012;116,2548432;3,98;55,69386361;55424,35422;6161,398;1161,74;0,83
1992,25;9637,732;69,53918523;117,8359262;3,76;49,78261897;49730,52174;6203,224;1227,44;1,04
1992,5;9732,979;69,86867976;118,022677;3,22;51,11003075;50972,3463;6269,718;1237,197;1,57
1992,75;9834,51;70,34251908;117,9272214;2,92;53,87543228;53713,89297;6344,446;1274,945;1,21
1993;9850,973;70,74159213;118,8541921;3,07;54,82971218;54564,60099;6368,772;1305,003;1,6
1993,25;9908,347;71,17199182;119,325418;3,04;56,89986352;56769,33698;6426,703;1312,511;1,44
1993,5;9955,641;71,60047107;118,7202912;3,09;58,76992275;58623,56859;6498,229;1303,597;1,33
